,AD_alpha,AD_avg_rev,AS_alpha,AS_avg_rev
normal,R_AD_alpha0,500430.883,R_AS_alpha12,501422.394
m5,R_AD_alpha0,644806.849,R_AS_alpha8,644953.515
m15,R_AD_alpha20,359116.131,R_AS_alpha14,362183.999
m20,R_AD_alpha20,309963.905,R_AS_alpha4,308533.49
b50,R_AD_alpha12,442225.813,R_AS_alpha12,444716.694
b90,R_AD_alpha18,561375.074,R_AS_alpha2,562704.373
r1,R_AD_alpha0,512388.425,R_AS_alpha2,514096.671
r3,R_AD_alpha20,491192.865,R_AS_alpha20,491872.531
d10,R_AD_alpha10,500368.887,R_AS_alpha4,500708.264
d40,R_AD_alpha6,487274.545,R_AS_alpha10,486802.902
