Setting,R_ND,R_NS,R_AD_alpha20,R_AD_alpha18,R_AD_alpha16,R_AD_alpha14,R_AD_alpha12,R_AD_alpha10,R_AD_alpha8,R_AD_alpha6,R_AD_alpha4,R_AD_alpha2,R_AD_alpha0,R_AS_alpha20,R_AS_alpha18,R_AS_alpha16,R_AS_alpha14,R_AS_alpha12,R_AS_alpha10,R_AS_alpha8,R_AS_alpha6,R_AS_alpha4,R_AS_alpha2,R_AS_alpha0
normal,500430.883,500577.923,500045.046,500129.11,500085.954,500128.596,500231.526,500265.356,500261.953,500351.697,500374.673,500397.262,500430.883,501076.491,501178.165,501111.819,501092.624,501422.394,501065.287,501097.836,501021.424,500989.557,500883.86,501022.739
m5,644806.849,644932.822,644713.534,644703.439,644740.132,644762.27,644762.27,644774.614,644774.614,644776.246,644788.667,644801.524,644806.849,644840.512,644838.987,644833.867,644890.573,644940.071,644934.602,644953.515,644904.375,644902.728,644921.344,644885.872
m15,359116.131,361649.359,359116.131,359116.131,359116.131,359116.131,359116.131,359116.131,359116.131,359116.131,359116.131,359116.131,359116.131,362109.611,361480.455,361636.093,362183.999,361699.982,361306.065,362006.705,361726.484,361634.237,361635.108,361478.315
m20,309963.905,308485.568,309963.905,309963.905,309963.905,309963.905,309963.905,309963.905,309963.905,309963.905,309963.905,309963.905,309963.905,308414.631,308039.013,308301.227,307713.543,308094.512,308018.976,308348.348,307739.054,308533.49,307662.161,308314.981
b50,441423.351,443577.779,440952.419,441406.227,441769.165,442003.791,442225.813,442113.628,442020.792,441848.355,441491.823,441433.825,441423.351,442414.287,443782.014,444327.15,444549.758,444716.694,444322.221,444639.91,444523.505,443918.063,443645.229,443575.965
b90,561247.973,562780.135,561335.556,561375.074,561375.074,561366.95,561373.521,561247.307,561247.307,561248.614,561248.614,561248.614,561247.973,562482.725,562274.653,562350.059,561995.739,562603.744,562304.137,562361.807,562478.473,561995.583,562704.373,562176.448
r1,512388.425,513566.132,511403.499,511681.729,511801.712,511919.619,512050.264,512102.426,512160.568,512238.894,512272.969,512290.649,512388.425,513335.165,513458.75,513014.662,513607.022,513259.56,513343.204,513567.728,513773.638,513719.886,514096.671,513798.872
r3,490282.869,491214.621,491192.865,491093.774,490758.236,490663.807,490440.05,490333.131,490393.219,490316.524,490327.405,490291.113,490282.869,491872.531,491189.35,491475.8,491473.927,491720.985,491332.262,491418.026,491525.929,491470.635,491130.66,491715.754
d10,500353.338,500630.358,500233.909,500303.271,500339.283,500350.187,500355.858,500368.887,500349.805,500335.682,500343.208,500343.208,500353.338,500316.0,500524.625,500594.717,500564.638,500580.927,500640.325,500586.135,500700.193,500708.264,500677.258,500661.451
d40,487166.797,484823.334,486942.958,486956.171,487163.524,487148.661,487171.565,487152.816,487201.755,487274.545,487080.021,487035.828,487166.797,485236.807,486027.925,485489.084,486558.045,485235.734,486802.902,485960.399,486034.456,485573.217,485976.856,485912.951
